year_month,person_or_corporation,state_brazil,default_rate
2004-07-01,P,MS,2.44
2004-07-01,P,MG,5.07
2004-07-01,P,PA,6.82
2004-07-01,P,PB,6.55
2004-07-01,P,PR,3.30
2004-07-01,P,PE,10.08
2004-07-01,P,PI,9.59
2004-07-01,P,RJ,7.21
2004-07-01,P,RN,7.47
2004-07-01,P,RS,3.78
2004-07-01,P,RO,4.23
2004-07-01,P,RR,8.68
2004-07-01,P,SC,3.39
2004-07-01,P,SP,5.18
2004-07-01,P,SE,8.24
2004-07-01,P,TO,4.69
2004-08-01,P,AC,4.32
2004-08-01,P,AL,8.68
2004-08-01,P,AP,4.78
2004-08-01,P,AM,8.27
2004-08-01,P,BA,7.92
2004-08-01,P,CE,9.97
2004-08-01,P,DF,5.15
2004-08-01,P,ES,5.64
2004-08-01,P,GO,3.47
2004-08-01,P,MA,12.21
2004-08-01,P,MT,2.25
2004-08-01,P,MS,2.27
2004-08-01,P,MG,4.91
2004-08-01,P,PA,6.63
2004-08-01,P,PB,6.40
2004-08-01,P,PR,3.17
2004-08-01,P,PE,11.56
2004-08-01,P,PI,9.29
2004-08-01,P,RJ,6.84
2004-08-01,P,RN,7.11
2004-08-01,P,RS,3.67
2004-08-01,P,RO,3.78
2004-08-01,P,RR,8.31
2004-08-01,P,SC,3.33
2004-08-01,P,SP,5.00
2004-08-01,P,SE,8.41
2004-08-01,P,TO,4.66
2004-09-01,P,AC,4.44
2004-09-01,P,AL,8.84
2004-09-01,P,AP,4.85
2004-09-01,P,AM,8.19
2004-09-01,P,BA,8.52
2004-09-01,P,CE,10.74
2004-09-01,P,DF,5.08
2004-09-01,P,ES,5.69
2004-09-01,P,GO,3.33
2004-09-01,P,MA,12.65
2004-09-01,P,MT,2.32
2004-09-01,P,MS,2.31
2004-09-01,P,MG,4.87
2004-09-01,P,PA,6.62
2004-09-01,P,PB,7.31
2004-09-01,P,PR,3.11
2004-09-01,P,PE,11.71
2004-09-01,P,PI,10.46
2004-09-01,P,RJ,6.93
2004-09-01,P,RN,7.26
2004-09-01,P,RS,3.59
2004-09-01,P,RO,3.87
2004-09-01,P,RR,8.05
2004-09-01,P,SC,3.31
2004-09-01,P,SP,5.12
2004-09-01,P,SE,9.25
2004-09-01,P,TO,4.59
2004-10-01,P,AC,4.70
2004-10-01,P,AL,8.65
2004-10-01,P,AP,4.46
2004-10-01,P,AM,8.18
2004-10-01,P,BA,8.38
2004-10-01,P,CE,10.60
2004-10-01,P,DF,5.23
2004-10-01,P,ES,5.65
2004-10-01,P,GO,3.49
2004-10-01,P,MA,12.14
2004-10-01,P,MT,2.38
2004-10-01,P,MS,2.36
2004-10-01,P,MG,4.77
2004-10-01,P,PA,6.60
2004-10-01,P,PB,7.73
2004-10-01,P,PR,3.07
2004-10-01,P,PE,11.29
2004-10-01,P,PI,10.61
2004-10-01,P,RJ,7.13
2004-10-01,P,RN,7.45
2004-10-01,P,RS,3.44
2004-10-01,P,RO,3.93
2004-10-01,P,RR,7.62
2004-10-01,P,SC,3.25
2004-10-01,P,SP,5.07
2004-10-01,P,SE,9.53
2004-10-01,P,TO,4.83
2004-11-01,P,AC,4.84
2004-11-01,P,AL,8.40
2004-11-01,P,AP,4.52
2004-11-01,P,AM,7.87
2004-11-01,P,BA,8.18
2004-11-01,P,CE,10.17
2004-11-01,P,DF,5.12
2004-11-01,P,ES,5.64
2004-11-01,P,GO,3.37
2004-11-01,P,MA,11.64
2004-11-01,P,MT,2.39
2004-11-01,P,MS,2.23
2004-11-01,P,MG,4.73
2004-11-01,P,PA,6.37
2004-11-01,P,PB,7.45
2004-11-01,P,PR,2.96
2004-11-01,P,PE,10.91
2004-11-01,P,PI,9.75
2004-11-01,P,RJ,6.96
2004-11-01,P,RN,7.04
2004-11-01,P,RS,3.36
2004-11-01,P,RO,4.02
2004-11-01,P,RR,7.64
2004-11-01,P,SC,3.13
2004-11-01,P,SP,5.08
2004-11-01,P,SE,9.02
2004-11-01,P,TO,4.85
2004-12-01,P,AC,4.55
2004-12-01,P,AL,7.58
2004-12-01,P,AP,4.32
2004-12-01,P,AM,6.95
2004-12-01,P,BA,7.86
2004-12-01,P,CE,9.73
2004-12-01,P,DF,4.93
2004-12-01,P,ES,5.04
2004-12-01,P,GO,3.17
2004-12-01,P,MA,11.29
2004-12-01,P,MT,2.37
2004-12-01,P,MS,2.10
2004-12-01,P,MG,4.44
2004-12-01,P,PA,5.98
2004-12-01,P,PB,6.88
2004-12-01,P,PR,2.69
2004-12-01,P,PE,10.22
2004-12-01,P,PI,9.65
2004-12-01,P,RJ,6.24
2004-12-01,P,RN,6.53
2004-12-01,P,RS,3.05
2004-12-01,P,RO,3.91
2004-12-01,P,RR,7.74
2004-12-01,P,SC,2.84
2004-12-01,P,SP,4.45
2004-12-01,P,SE,8.89
2004-12-01,P,TO,4.58
2005-01-01,P,AC,4.56
